Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:33,    1698839372822,--Not Acquired--     ,--Not Acquired--     ,   517.88,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    49.6443,     0.9751,     97.34,    328.14,    0.7034,    212.88,    0.0000,    0.4134,      1101,    0.4161,      2269,    0.1704,     13074,     0.934,     11.19,   0.00000,      1.28,    215.03,    275.67,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:35,    1698839374794,--Not Acquired--     ,--Not Acquired--     ,   517.37,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    48.7589,     0.9763,     95.87,    328.54,    0.7082,    225.77,    0.0000,    0.3021,       879,    0.4686,      1958,    0.2294,     12237,     0.568,     20.41,   0.00000,      1.36,    184.37,    250.67,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:45,    1698839385712,--Not Acquired--     ,--Not Acquired--     ,   520.72,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    14.5728,     0.9780,    126.18,    312.93,    0.5968,    245.98,    0.0000,    0.4633,       972,    0.4368,      3046,    0.0999,     73206,     0.439,     18.10,   0.00000,      1.48,     74.22,    109.96,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:47,    1698839387753,--Not Acquired--     ,--Not Acquired--     ,   518.94,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.8956,     0.9818,     97.80,    297.35,    0.6711,    251.36,    0.0830,    0.3750,       992,    0.5167,      2556,    0.1083,     17651,     0.627,     13.28,   0.00000,      1.56,    178.60,    279.15,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:49:58,    1698839398696,--Not Acquired--     ,--Not Acquired--     ,   523.31,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    43.2492,     0.9753,    154.80,    328.54,    0.5288,    228.30,    0.0000,    0.3464,       777,    0.5198,      2652,    0.1338,     85040,     0.296,     28.15,   0.00000,      1.37,     55.82,     76.75,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:00,    1698839400704,--Not Acquired--     ,--Not Acquired--     ,   518.47,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.5055,     0.9814,     96.69,    296.97,    0.6744,    247.77,    0.0800,    0.3675,       974,    0.5155,      2528,    0.1170,     16686,     0.541,     16.00,   0.00000,      1.54,    180.90,    278.34,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:11,    1698839411646,--Not Acquired--     ,--Not Acquired--     ,   534.18,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    69.0067,     0.9748,    258.02,    378.88,    0.3190,    213.44,    0.0000,    0.2851,       760,    0.5263,      2500,    0.1886,     46503,     0.217,     28.11,   0.00000,      1.29,     75.51,     97.06,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:13,    1698839413670,--Not Acquired--     ,--Not Acquired--     ,   518.28,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.8601,     0.9785,     96.01,    306.79,    0.6870,    240.43,    0.0170,    0.3648,       943,    0.5072,      2422,    0.1280,     15390,     0.611,     15.27,   0.00000,      1.46,    193.97,    282.63,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:24,    1698839424639,--Not Acquired--     ,--Not Acquired--     ,   557.69,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    37.6368,     0.9799,    329.54,    407.44,    0.1912,    224.16,    0.0000,    0.2915,      1123,    0.5421,      2518,    0.1664,     31508,     0.232,     19.09,   0.00000,      1.35,    106.84,    144.23,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:27,    1698839426771,--Not Acquired--     ,--Not Acquired--     ,   517.61,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    22.6030,     0.9767,     95.30,    314.45,    0.6969,    232.76,    0.0000,    0.3735,       944,    0.4988,      2363,    0.1276,     15079,     0.586,     17.02,   0.00000,      1.40,    206.46,    289.40,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:37,    1698839437755,--Not Acquired--     ,--Not Acquired--     ,   615.26,     0.0000,      0.0000,  NO DATA,    '10000,    320.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     7.0910,     0.9779,    387.01,    430.83,    0.1017,    216.79,    0.0000,    0.8514,      1753,    0.0690,     10055,    0.0796,     31867,     0.263,     14.67,   0.00000,      1.31,    162.23,    211.80,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:39,    1698839439721,--Not Acquired--     ,--Not Acquired--     ,   517.30,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,    54.8498,     0.9759,     95.41,    319.37,    0.7013,    228.91,    0.0000,    0.3872,       948,    0.4850,      2346,    0.1278,     14704,     0.595,     17.88,   0.00000,      1.38,    214.39,    295.54,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:50,    1698839450647,--Not Acquired--     ,--Not Acquired--     ,   557.71,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    73.8699,     0.9782,    319.01,    403.26,    0.2089,    221.78,    0.0000,    0.2875,      1020,    0.5455,      2363,    0.1670,     29164,     0.224,     20.43,   0.00000,      1.34,    116.03,    154.97,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:50:52,    1698839452598,--Not Acquired--     ,--Not Acquired--     ,   517.86,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    23.1799,     0.9766,     95.67,    313.86,    0.6952,    233.69,    0.0000,    0.3754,       953,    0.5063,      2320,    0.1183,     15537,     0.610,     16.01,   0.00000,      1.41,    210.85,    296.73,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:03,    1698839463568,--Not Acquired--     ,--Not Acquired--     ,   533.87,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    78.8580,     0.9747,    234.35,    371.39,    0.3690,    221.03,    0.0000,    0.3385,       803,    0.4831,      2422,    0.1783,     41900,     0.217,     29.44,   0.00000,      1.33,     84.28,    112.19,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:05,    1698839465515,--Not Acquired--     ,--Not Acquired--     ,   518.09,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    27.9227,     0.9785,     96.11,    305.83,    0.6857,    242.75,    0.0360,    0.3605,       917,    0.5278,      2309,    0.1117,     16389,     0.596,     15.21,   0.00000,      1.48,    200.28,    296.76,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:16,    1698839476488,--Not Acquired--     ,--Not Acquired--     ,   523.09,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    29.4298,     0.9774,    135.96,    324.78,    0.5814,    245.79,    0.0000,    0.4217,       938,    0.4603,      2503,    0.1180,     51493,     0.376,     21.37,   0.00000,      1.48,     88.63,    131.19,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:18,    1698839478491,--Not Acquired--     ,--Not Acquired--     ,   518.68,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    26.9144,     0.9802,     96.66,    300.34,    0.6782,    250.37,    0.0980,    0.3696,       883,    0.5266,      2308,    0.1038,     16979,     0.582,     14.86,   0.00000,      1.57,    194.82,    304.96,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:29,    1698839489431,--Not Acquired--     ,--Not Acquired--     ,   520.11,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    21.9699,     0.9798,    117.47,    315.50,    0.6277,    258.17,    0.0640,    0.4526,       954,    0.4436,      2507,    0.1038,     29426,     0.547,     14.46,   0.00000,      1.59,    136.92,    218.35,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:31,    1698839491427,--Not Acquired--     ,--Not Acquired--     ,   518.25,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    28.4311,     0.9797,     96.27,    304.54,    0.6839,    250.27,    0.0830,    0.3887,       913,    0.5046,      2274,    0.1067,     15954,     0.625,     14.32,   0.00000,      1.56,    201.94,    314.07,
C:\LIFT\DATA\PICO\PICO_202311010848_MiSa2019_44_data.csv , 2023/11/01, 08:51:42,    1698839502373,--Not Acquired--     ,--Not Acquired--     ,   518.13,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    38.0879,     0.9797,     94.84,    301.91,    0.6859,    247.15,    0.1150,    0.3946,       885,    0.4957,      2230,    0.1097,     14890,     0.744,     11.95,   0.00000,      1.55,    210.19,    326.82,
